Text	Kategori
"Usai Sholat Jumat, Umat Islam Madina Gelar Aksi Bela Ulama #StopKriminalisasiUlama"	Agreebleness
Viral! GP Ansor Turunkan Bendera Ormas Terlarang HTI di SMKN 1 Tangerang	Agreebleness
Yenny wahid menjelaskan berdirinya khilafah dan mengubah bentuk negara hanya bersifat utopia atau khayalan semata. .  #yennywahid	Agreebleness
Yenny Wahid Sebut Indonesia Tidak Mungkin Terapkan Sistem Khilafah .  #yennywahid	Agreebleness
"Yusril Ihza Mahendra Menangkan HTI di Pengadilan, Negara Membisu"	Agreebleness
"Saat ini yg perlu di waspadai  kelompok-kelompok HTI, FPI. yang ngaku-ngaku ustad, ulama,habib untuk menyebarkan fitnah, hoax, menghasut"	Conscientiousness
Save umat with KHILAFAH	Conscientiousness
Tanggungjawab sebagai khalifah	Conscientiousness
"They're hating Felix, HTI. Sementara aku mendukungnya. That's the very awkward moment..."	Conscientiousness
Yang dibubarkan HTI koq Yang Pecah HANURA?	Conscientiousness
"Saya bertanya pada teman-teman saya yang bangga masuk di dalam HTI. Dimana kantor pusat HTI..??"	Extraversion
"Wahhh perlu ini di Indonesia... Kalau perlu Fatwa MUI dan 7 juta Ulama Bom bunuh diri itu haram, Radaikal itu Haram"	Extraversion
"Wkkkk kok kaitkan dengan HTI, tweet yang bener bro"	Extraversion
"wong mau ngelurusin yang bengkok, kok marah-marah? emangnya ente yang punya negeri ini mau usir-usir orang! saya tahu HTI dilarang"	Extraversion
"Yang mau mendirikan khilafah pada kemana waktu indonesia di jajah...?Nongol pas enaknya doang....!!"	Extraversion
"Memasuki tahun politik 2018, pengikut Bani cabul dan HTI yang sakit hati makin membabi buta di FB"	Neuroticism
ulama ini kalau gak HTI FPI	Neuroticism
RT walisongo063: Benar kata prof Yusri jika Presiden yg skrg adalah bodoh. Rezim ini dipimpin oleh orang yg bodoh dan kumpulan orang-orang bodoh	Neuroticism
Tolong Bikinin Hoax dong. grup band legendaris white lion menginginkan khilafah. mereka gak suka…	Neuroticism
Ya Allah..sebegitunya kah sikap mereka terhadap simbol2 Islam. Sementara dg #DEMOKRASI yg bukan dari Islam	Neuroticism
"RT @walisongo063: Abu Jahal memang bodoh, mencela Rasulullah, malah banyak yg masuk Islam. Sekarang HTI dicela, malah banyak yg belajar KHILAFAH"	Openness to experience
"Terkait SK Kemenkumham mengenai Pembubaran HTI sbg ormas di Indonesia, Pemerintah melalui Kemenko Polhukam mengumpulkan bukti-bukti"	Openness to experience
Strategi Politik Jokowi di Lingkaran Jenderal Pensiunan	Openness to experience
Ustad.ulama habib karbitan ini dengan sengaja memancing kemarahan umat ke Pemerintah. Dengan sengaja memutar balikkan fakta	Openness to experience
"YANG DIBUBARKAN HTI. YANG PECAH HANURA. ALHAMDULILLAH, YANG LAIN MENYUSUL"	Openness to experience
