Teks	Tipe Kepribadian
"*GARA-GARA MENOLAK KHILAFAH, ALI ABDURRAZIQ DICOPOT DARI DAFTAR ULAMA Oleh: KH Hafidz Abdurrahman. BeritaÖ"	Openness to experience
"Antikecebong1 Mereka semua 1 gerbong lah. Nnt km kejang2 pula klo bahas la nyalla...itu sekjen fui sendiri ngomong"	Openness to experience
Wiranti mana suaranya stelah HTI menang d pengadilan....jendral keparat	Openness to experience
"Udah dijawab sama adminnya kmrn, lagian sekalian mancing itu. Sempet ngomong HTI"	Openness to experience
"Goblokk ! Itu bukan bendera hti tp bendera kebesaran Islam, Ansor Goblok !"	Openness to experience
Penjahat2 khilafah memang bajingan statement2nya	Openness to experience
"Sebodoh-bodohnya orang yang mau dikadalin Felix.,. HTI itu murni ingin merebut kekuasaan yg dibungkus agama"	Openness to experience
Bila Di Indonesia Ada Tahrir HTI Di Iraq &amp; Suriah Ada Hayat Tahril Al-Sham ( HTS ) Yg Di Pimpin Oleh	Openness to experience
HTI  ITU ORMAS YG ANTI PANCASILA DAN NEGARA2 ISLAM LAIN DI DUNIA HTI SUDAH LAMA DI BUBAR KAN	Openness to experience
Kalau sudah ngerti Perpu bahwa HTI sudah dilarang. kalau masih berani unjuk gigi siap siap diberangus aparat.	Openness to experience
@Dennysiregar7 Siap bergabung untuk memerangi HTI..	Openness to experience
Kenapa khilafah?	Openness to experience
Oo...ternyata aseng-aseng juga ada yang HTI toh	Openness to experience
"Aksi 212 itu murni bela islam dari penistaan Quran oleh ahok , bagi ahoker macam kamu dianggap politik"	Openness to experience
"Niat menghancurkan HTI, malah partai dia sendiri yg bubar jalan #semogaAdaSolusi #Bong200"	Openness to experience
"Cb suruh ke Timur tengah banyak perang, untuk sekedar kemasjid saja khawatir"	Openness to experience
@Masnita01542937 @ZaenalAripin999 @felixsiauw HTI memberontak secara halus dan sembunyi sembunyi itulah kaum codot kayak lu otaknya bego	Openness to experience
@Masnita01542937 @ZaenalAripin999 @felixsiauw ya mana ada maling ngaku kalo HTI jelmaan PKI dah ngaku aja deh	Openness to experience
@Masnita01542937 @ZaenalAripin999 @felixsiauw yg mempersulit itu justru para kaum HTI	Openness to experience
"NetizenTofa Udah lama gak mantengin FB, mau coba post tentang khilafah di hapus apa gak."	Openness to experience
"PKI itu sama aja kyk HTI, sama2 pengen ngeruntuhin dan nguasain negeri ini"	Openness to experience
"pemudakahfi3 Didalam perjalanan sejarah islam sudah ada bbrp kali kaum khawarij yg mendirikan khilafah,"	Openness to experience
republikaonline Pemimpin khilafah dan pengikutnya selalu tidak akan puas dengan pemrintahan manapun selagi dia sendri belum berhasil memecah belah negara	Openness to experience
disini terlihat bhw profesor gerung2 terjebak permainan sekte khilafah	Openness to experience
hti bidikan pks selalu nyebarkan fitnah. ... trus para pemabok kencing onta bilangnya : kriminalisasi ulama	Openness to experience
suhadaharjoko1 Kan dah JD buronan? HTi jg dibubarkan..coba kasih bukti Kali mereka gak salah?  Kalau perlu tuntut saya ke pengadilan	Openness to experience
pilkada thogut entar.. maunya pilkada yang khilafah	Openness to experience
"VIVAcoid Bang Yusril, lebih konsentrasi besarkan PBB, rekrut pengurus yang dikenal dan mumpuni"	Openness to experience
"Selepas Khilafah dibubarkan, tiada pula perlindungan bagi kaum Muslim | misalnya 1948 negara Israel didirikan oleh PBB dan US"	Openness to experience
"fasa dalam kehidupan umat islam: Fasa kenabia, Fasa Khalifa, Fasa Khalifah berpandukan kerajaan"	Openness to experience
"Sisi menarik lain yang tidak kalah penting terkait posisi rakyat di mata Umar, Khalifah Kedua ini memiliki pandangan berbeda"	Openness to experience
Abu Bakar menjadi khalifah hanya dua tahun. Pada tahun 634 M. ia meninggal dunia.	Openness to experience
"Begitu halnya dengan lisan (yang katanya) ustadz bengkok -yang nggak tau diri, hidup di Indonesia tapi mau menegaklaim negara khilafah"	Openness to experience
ceramah ustadz Budi Azhari Khilafah akan kembali bukan lewat demokrasi	Openness to experience
Cobaan-cobaan itu juga menimpa para khalifah dan pemimpin kita; Umar r.a. dilumuri dengan darahnya sendiri	Openness to experience
"Demokrasi liberal itu mahal Prof. mohmahfudmd ada solusi sistem demokrasi yg serba gratis *Sistem Khilafah Islam"	Openness to experience
Di Arab nggak ada HT/HTI. Sdh habis ditangkap. Sisanya buron ke Asia (Indonesia).	Openness to experience
"Dulu,Pilpres 2009 SBY suntik Bank Century 6,5T. Kini jelang 2019, Jokowi suntik konglomerat sawit 7,5T."	Openness to experience
